#G1           G2             G3             W2            W3
0.1390        -0.4272        -1.0000        0.2111        5.0152e-03
0.1257        -0.4351        -0.9287        0.2058        4.9965e-03
0.1134        -0.4231        -0.8175        0.2035        4.9978e-03
0.1294        -0.4495        -0.9113        0.2014        4.9730e-03
0.1370        -0.4557        -0.9410        0.2053        5.0048e-03
0.1212        -0.4672        -0.9797        0.2022        5.0257e-03
0.1230        -0.4730        -0.9797        0.2010        5.0092e-03
0.1261        -0.4608        -0.9996        0.2021        4.9982e-03
0.1083        -0.4659        -0.9295        0.1968        5.0129e-03
0.1226        -0.4688        -0.9279        0.2011        5.0065e-03
0.0997        -0.4681        -0.7897        0.1934        5.0010e-03
0.1026        -0.4657        -0.7875        0.1964        5.0026e-03
0.1222        -0.4537        -0.7530        0.1943        4.9969e-03
0.1239        -0.4346        -0.8807        0.1943        4.9922e-03
0.1190        -0.4359        -0.8696        0.1926        5.0038e-03
0.1132        -0.4670        -0.9460        0.1883        5.0130e-03
0.1109        -0.4738        -0.9675        0.1876        5.0120e-03
0.1016        -0.4631        -0.8851        0.1810        4.9973e-03
0.1119        -0.4714        -0.9402        0.1828        5.0019e-03
0.1089        -0.4598        -0.9597        0.1852        5.0068e-03
0.1204        -0.4651        -0.9715        0.1884        5.0000e-03
0.1148        -0.4752        -0.9868        0.1825        5.0113e-03
0.1138        -0.4552        -0.9646        0.1829        5.0115e-03
0.1097        -0.4385        -0.9765        0.1894        5.0235e-03
0.1213        -0.4268        -1.0000        0.1970        5.0198e-03
0.0934        -0.4464        -0.9951        0.1934        4.9876e-03
0.0822        -0.4597        -0.9848        0.1883        4.9841e-03
0.0838        -0.4774        -0.9755        0.1812        4.9894e-03
0.0659        -0.4890        -0.8468        0.1682        4.9996e-03
0.0726        -0.4909        -0.8613        0.1712        5.0001e-03
0.0800        -0.4891        -0.8998        0.1720        5.0019e-03
0.0773        -0.5018        -0.9049        0.1662        5.0001e-03
0.1018        -0.4892        -0.9322        0.1728        5.0131e-03
0.0843        -0.4941        -0.8937        0.1706        4.9934e-03
0.0817        -0.4973        -0.8733        0.1707        4.9997e-03
0.0912        -0.4746        -0.8608        0.1721        5.0058e-03
0.1091        -0.4818        -0.8757        0.1701        5.0023e-03
0.0974        -0.4853        -0.8529        0.1672        5.0034e-03
0.0889        -0.4788        -0.8576        0.1658        4.9978e-03
0.0763        -0.4606        -0.7801        0.1682        4.9997e-03
0.0646        -0.4502        -0.8096        0.1674        5.0002e-03
0.0451        -0.4366        -0.7557        0.1666        5.0052e-03
0.0467        -0.4639        -0.7165        0.1606        4.9965e-03
0.0573        -0.4602        -0.7149        0.1628        4.9990e-03
0.0795        -0.4667        -0.8461        0.1667        4.9935e-03
0.0766        -0.4465        -0.7206        0.1686        4.9970e-03
0.0754        -0.4913        -0.7832        0.1652        5.0007e-03
0.0706        -0.4829        -0.8286        0.1660        5.0014e-03
0.0701        -0.4824        -0.7917        0.1685        5.0033e-03
0.0742        -0.4922        -0.8154        0.1677        5.0017e-03
0.0629        -0.4500        -0.8614        0.1747        5.0079e-03
0.0447        -0.4464        -0.8156        0.1719        5.0036e-03
0.0526        -0.4839        -0.8040        0.1662        4.9922e-03
0.0542        -0.4947        -0.7578        0.1638        5.0006e-03
0.0856        -0.5282        -0.7843        0.1630        5.0012e-03
0.0782        -0.4801        -0.8216        0.1698        5.0010e-03
0.0838        -0.4928        -0.8443        0.1697        5.0021e-03
0.0660        -0.4926        -0.7963        0.1666        5.0026e-03
0.0778        -0.4787        -0.7850        0.1716        5.0019e-03
0.0835        -0.4852        -0.8170        0.1751        5.0000e-03
0.0585        -0.4625        -0.8016        0.1727        5.0060e-03
0.0732        -0.4837        -0.8617        0.1745        5.0037e-03
0.0718        -0.4864        -0.8851        0.1685        5.0008e-03
0.0749        -0.4808        -0.8371        0.1703        4.9997e-03
0.0784        -0.4851        -0.8360        0.1711        5.0021e-03
0.0643        -0.4744        -0.7744        0.1629        4.9991e-03
0.0667        -0.4576        -0.9176        0.1647        4.9952e-03
0.0707        -0.4909        -0.9518        0.1613        5.0046e-03
0.0924        -0.5040        -1.0000        0.1706        5.0094e-03
0.0929        -0.5042        -0.9975        0.1761        5.0104e-03
0.0862        -0.4914        -0.9971        0.1773        4.9837e-03
0.0959        -0.4830        -0.9988        0.1796        5.0113e-03
0.1056        -0.4581        -0.9994        0.1899        5.0083e-03
0.0872        -0.4565        -0.9789        0.1841        4.9936e-03
0.0846        -0.4802        -1.0000        0.1848        5.0095e-03
0.0974        -0.4712        -0.9799        0.1859        5.0075e-03
0.0975        -0.4613        -0.9646        0.1852        4.9998e-03
0.0911        -0.4867        -0.9578        0.1826        5.0103e-03
0.0754        -0.4733        -0.9400        0.1805        5.0014e-03
